reaction_wasteland_cryo

[OBJECT:REACTION]

[REACTION:CRAFT_CRYOGEL]
	[NAME:create cryogel (6 months)]
	[BUILDING:CRYOGENIC_MODULE:NONE]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:1:TOOL:ITEM_TOOL_WIRING:INORGANIC:COPPER]
	[REAGENT:C:1:TOOL:ITEM_TOOL_CELL_CHARGED:NONE:NONE]
	[PRODUCT:100:1:PLANT:NONE:PLANT_MAT:cryogel:PLANT]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_CELL_DEPLETED:GET_MATERIAL_FROM_REAGENT:C:NONE]

[REACTION:PUT_CRYO_6]
	[NAME:put in cryo sleep (6 months)]
	[BUILDING:CRYOGENIC_MODULE:NONE]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:1:TOOL:ITEM_TOOL_WIRING:INORGANIC:COPPER]
	[REAGENT:C:1:TOOL:ITEM_TOOL_CELL_CHARGED:NONE:NONE]
	[PRODUCT:100:10:BOULDER:NONE:INORGANIC:CRYO_6]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_CELL_DEPLETED:GET_MATERIAL_FROM_REAGENT:C:NONE]

[REACTION:PUT_CRYO_12]
	[NAME:put in cryo sleep (1 year)]
	[BUILDING:CRYOGENIC_MODULE:NONE]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:1:TOOL:ITEM_TOOL_WIRING:INORGANIC:COPPER]
	[REAGENT:C:1:TOOL:ITEM_TOOL_CELL_CHARGED:NONE:NONE]
	[PRODUCT:100:10:BOULDER:NONE:INORGANIC:CRYO_12]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_CELL_DEPLETED:GET_MATERIAL_FROM_REAGENT:C:NONE]

[REACTION:PUT_CRYO_24]
	[NAME:put in cryo sleep (2 years)]
	[BUILDING:CRYOGENIC_MODULE:NONE]
	[REAGENT:A:150:BAR:NONE:INORGANIC:IRON]
	[REAGENT:B:1:TOOL:ITEM_TOOL_WIRING:INORGANIC:COPPER]
	[REAGENT:C:1:TOOL:ITEM_TOOL_CELL_CHARGED:NONE:NONE]
	[PRODUCT:100:10:BOULDER:NONE:INORGANIC:CRYO_24]
	[PRODUCT:100:1:TOOL:ITEM_TOOL_CELL_DEPLETED:GET_MATERIAL_FROM_REAGENT:C:NONE]
