creature_zpoketotem

[OBJECT:CREATURE]

[CREATURE:TOTEM_GUMSHOOS]
	[COPY_TAGS_FROM:GUMSHOOS]
	[APPLY_CREATURE_VARIATION:TOTEM]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:500]
	[GO_TO_START]
	[NAME:Totem Gumshoos:Totem Gumshoos:Totem Pokemon]
	[CASTE_NAME:Totem Gumshoos:Totem Gumshoos:Totem Pokemon]
	[SOUND:ALERT:20:1000:VOCALIZATION:cry:cries:a Gumshoos cry]
	[POPULATION_NUMBER:1:5]
	[CLUSTER_NUMBER:1:1]
	[CREATURE_TILE:'G']
	[ALTTILE:'T']
	[PET_EXOTIC]
	[PETVALUE:300]
	[LARGE_PREDATOR]
	[AT_PEACE_WITH_WILDLIFE]
	[GO_TO_END]
	[PREFSTRING:special aura]
	[PHYS_ATT_RANGE:TOUGHNESS:1350:1360:1370:1380:1390:1400:1410]

[CREATURE:TOTEM_RATICATE]
	[COPY_TAGS_FROM:RATICATE]
	[APPLY_CREATURE_VARIATION:TOTEM]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:500]
	[GO_TO_START]
	[NAME:Totem Raticate:Totem Raticate:Totem Pokemon]
	[CASTE_NAME:Totem Raticate:Totem Raticate:Totem Pokemon]
	[SOUND:ALERT:20:1000:VOCALIZATION:cry:cries:a Raticate cry]
	[POPULATION_NUMBER:1:5]
	[CLUSTER_NUMBER:1:1]
	[CREATURE_TILE:'R']
	[ALTTILE:'T']
	[PET_EXOTIC]
	[PETVALUE:300]
	[LARGE_PREDATOR]
	[AT_PEACE_WITH_WILDLIFE]
	[GO_TO_END]
	[PREFSTRING:special aura]
	[PHYS_ATT_RANGE:TOUGHNESS:1500:1510:1520:1530:1540:1550:1560]
	
[CREATURE:TOTEM_WISHIWASHI]
	[COPY_TAGS_FROM:SCHOOLWISHIWASHI]
	[APPLY_CREATURE_VARIATION:TOTEM]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
