[2017-09-24T17:59:54+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2017-09-24T18:00:15+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:13:06+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:19:09+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:20:56+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:24:01+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:24:50+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:27:38+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:28:48+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:30:52+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:30:56+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:32:19+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T18:33:04+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-09-24T19:02:13+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region2; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
